                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                0.83706,                0.77355,                  1.164,                0.89306,                0.51793,                0.66593,                0.44915,                 1.2135,                 1.4504,                 1.5086,             0.00077975,             0.00077975,             0.00077975
                     41,                0.84748,                0.77249,                 1.1616,                0.71001,                0.45228,                0.55807,                0.38568,                 1.2394,                 1.7029,                 1.5834,             0.00076738,             0.00076738,             0.00076738
                     42,                0.87084,                0.82658,                  1.184,                0.59755,                 0.5214,                0.56575,                0.35717,                 1.3559,                 1.6633,                 1.6957,               0.000755,               0.000755,               0.000755
                     43,                0.81973,                0.75256,                 1.1438,                0.84146,                0.49949,                0.64159,                0.43139,                  1.204,                 1.3864,                 1.5191,             0.00074263,             0.00074263,             0.00074263
                     44,                0.83071,                0.78029,                 1.1553,                0.76934,                 0.5992,                0.68943,                 0.4594,                 1.2588,                 1.2196,                 1.5214,             0.00073025,             0.00073025,             0.00073025
                     45,                0.81016,                0.75581,                 1.1414,                0.67939,                0.66141,                0.68034,                0.43622,                 1.2788,                  1.101,                 1.5584,             0.00071788,             0.00071788,             0.00071788
                     46,                0.81133,                0.70986,                 1.1368,                0.72017,                0.64911,                0.66375,                0.43691,                 1.2616,                 1.0921,                 1.5788,              0.0007055,              0.0007055,              0.0007055
                     47,                0.82129,                0.76447,                  1.144,                0.66119,                0.52803,                0.57422,                0.40268,                 1.3032,                 1.3438,                 1.6175,             0.00069313,             0.00069313,             0.00069313
                     48,                0.83471,                0.75099,                 1.1657,                0.76065,                0.58641,                0.65239,                0.42767,                 1.2771,                 1.2979,                 1.5698,             0.00068075,             0.00068075,             0.00068075
                     49,                 0.8244,                0.73195,                  1.143,                0.67115,                0.67517,                0.68662,                0.45881,                 1.2125,                 1.1905,                 1.4955,             0.00066838,             0.00066838,             0.00066838
                     50,                 0.8216,                0.71394,                 1.1461,                 0.6131,                0.65646,                0.65434,                0.44325,                 1.2106,                 1.1396,                 1.4509,               0.000656,               0.000656,               0.000656
                     51,                0.80695,                0.71556,                 1.1292,                0.73163,                0.61739,                  0.668,                 0.4264,                 1.2934,                 1.2447,                 1.5283,             0.00064362,             0.00064362,             0.00064362
                     52,                0.78389,                0.70408,                 1.1229,                0.65149,                0.52413,                0.59265,                0.39199,                 1.3133,                 1.5637,                 1.6052,             0.00063125,             0.00063125,             0.00063125
                     53,                0.77788,                0.70279,                 1.1222,                0.72439,                0.50205,                0.58475,                0.38376,                 1.3572,                 1.7564,                 1.6595,             0.00061887,             0.00061887,             0.00061887
                     54,                0.79219,                0.71182,                 1.1322,                0.67687,                0.54565,                0.62147,                0.40993,                 1.3061,                 1.4862,                 1.5997,              0.0006065,              0.0006065,              0.0006065
                     55,                0.75848,                0.69111,                 1.1126,                0.79763,                0.49514,                0.63716,                0.40493,                 1.1894,                 1.3468,                 1.5134,             0.00059413,             0.00059413,             0.00059413
                     56,                0.74051,                0.67841,                 1.1075,                0.66544,                0.64305,                0.64601,                 0.4462,                 1.1592,                 1.1756,                 1.4761,             0.00058175,             0.00058175,             0.00058175
                     57,                 0.7396,                 0.6524,                 1.0977,                0.68354,                0.61141,                0.62985,                0.42919,                  1.265,                 1.2673,                 1.5586,             0.00056938,             0.00056938,             0.00056938
                     58,                0.74416,                0.66483,                 1.0975,                 0.6026,                0.62391,                0.62913,                0.41489,                 1.2593,                 1.2225,                 1.5875,               0.000557,               0.000557,               0.000557
                     59,                0.74526,                0.65328,                 1.1054,                 0.7588,                0.58542,                0.64934,                0.45329,                 1.1554,                 1.1897,                 1.4667,             0.00054463,             0.00054463,             0.00054463
                     60,                0.73227,                0.67101,                 1.0932,                0.78163,                0.56753,                0.62433,                0.43341,                  1.179,                 1.3046,                 1.5191,             0.00053225,             0.00053225,             0.00053225
                     61,                0.70851,                0.63136,                 1.0731,                0.74626,                0.60217,                0.71529,                0.45926,                 1.1823,                 1.2039,                 1.4872,             0.00051988,             0.00051988,             0.00051988
                     62,                 0.7667,                 0.6867,                  1.124,                0.78213,                0.56372,                0.69335,                0.45762,                 1.0966,                  1.191,                 1.4374,              0.0005075,              0.0005075,              0.0005075
                     63,                0.72497,                0.65332,                 1.0892,                0.81889,                0.57535,                 0.6825,                 0.4568,                 1.1243,                 1.2488,                 1.4531,             0.00049513,             0.00049513,             0.00049513
                     64,                0.73056,                0.63781,                 1.0945,                0.71845,                0.66252,                0.67584,                0.44605,                  1.144,                 1.2157,                 1.4455,             0.00048275,             0.00048275,             0.00048275
                     65,                0.75516,                0.64435,                 1.1083,                0.82568,                0.54293,                0.64575,                 0.4484,                 1.1435,                 1.2883,                 1.4739,             0.00047038,             0.00047038,             0.00047038
                     66,                0.71921,                0.64375,                 1.0935,                0.82085,                0.70923,                0.70908,                0.49255,                 1.0873,                 1.1694,                 1.4416,               0.000458,               0.000458,               0.000458
                     67,                0.72324,                0.61333,                 1.0864,                0.81788,                0.63545,                0.68727,                0.49102,                 1.0304,                 1.0795,                 1.4073,             0.00044563,             0.00044563,             0.00044563
                     68,                 0.7129,                0.63071,                 1.0927,                0.76189,                0.61467,                0.66094,                0.45595,                 1.1826,                  1.115,                 1.4859,             0.00043325,             0.00043325,             0.00043325
                     69,                0.68976,                0.60936,                 1.0713,                0.82065,                0.62391,                0.69242,                0.45272,                 1.1232,                 1.1391,                 1.4481,             0.00042087,             0.00042087,             0.00042087
                     70,                0.70987,                0.61125,                 1.0772,                0.79091,                0.64637,                0.68119,                0.47643,                 1.0665,                  1.129,                 1.4166,              0.0004085,              0.0004085,              0.0004085
